summary_index,package_name,version,package_id,file,source,summary,classifications
4226,react-zutils,1.0.1,react-zutils-1.0.1,2024-05-30-react-zutils-v1.0.1/package/printBuildError.js,malware_snippets,Logs minification errors and links to external troubleshooting page.,[]
4227,react-zutils,1.0.1,react-zutils-1.0.1,2024-05-30-react-zutils-v1.0.1/package/printHostingInstructions.js,malware_snippets,Prints deployment instructions and a deployment help link to the console.,[]
15419,discord-fetchers,1.4.2,discord-fetchers-1.4.2,/home2/wenbo/Documents/NPMAnalysis/Dataset/unzip_malware/discord-fetchers/1.4.2/package/test/Commands/Moderator.js,package_label,"Provides mass moderation powers; actual member actions delegated to external, uninspected functions from another module.",[]
15584,fca-bucu,1.7.4,fca-bucu-1.7.4,/home2/wenbo/Documents/NPMAnalysis/Dataset/unzip_malware/fca-bucu/1.7.4/package/test/data/shareAttach.js,package_label,Contains external redirect links that could be used for phishing or malicious redirection in a messaging context.,[]
16371,hanncuti,1.0.1,hanncuti-1.0.1,/home2/wenbo/Documents/NPMAnalysis/Dataset/unzip_malware/hanncuti/1.0.1/package/test/data/shareAttach.js,package_label,Contains external redirect links that could be used for phishing or unwanted redirection.,[]
16402,discord-datas,1.4.1,discord-datas-1.4.1,/home2/wenbo/Documents/NPMAnalysis/Dataset/unzip_malware/discord-datas/1.4.1/package/test/Commands/Moderator.js,package_label,Performs mass moderation actions via imported functions; actual behavior depends on uninspected external code.,[]
16456,fca-cat-api,4.0.2,fca-cat-api-4.0.2,/home2/wenbo/Documents/NPMAnalysis/Dataset/unzip_malware/fca-cat-api/4.0.2/package/test/data/shareAttach.js,package_label,Contains external redirect links that could be used for phishing or malicious redirection.,[]
16614,vtuandz00,0.0.2,vtuandz00-0.0.2,/home2/wenbo/Documents/NPMAnalysis/Dataset/unzip_malware/vtuandz00/0.0.2/package/src/changeAdminStatus.js,package_label,"Publishes arbitrary data to an MQTT topic, enabling remote command or data transmission via network.",[]
16648,custom-cafe-pdf,2.0.0,custom-cafe-pdf-2.0.0,/home2/wenbo/Documents/NPMAnalysis/Dataset/unzip_malware/custom-cafe-pdf/2.0.0/package/src/plugin/pdfjs-dist/build/pdf.worker.min.js,package_label,"Implements a message handler for worker, allowing arbitrary message-based commands and dynamic code/data handling.",[]
16660,anddone-node-common,1.0.3,anddone-node-common-1.0.3,/home2/wenbo/Documents/NPMAnalysis/Dataset/unzip_malware/anddone-node-common/1.0.3/package/index.js,package_label,"Dynamically exposes all submodules in node_modules, enabling arbitrary require and potential supply chain attacks.",[]
16808,disme,1.1.0,disme-1.1.0,/home2/wenbo/Documents/NPMAnalysis/Dataset/unzip_malware/disme/1.1.0/package/test/data/shareAttach.js,package_label,Contains external redirect links that could be used for phishing or tracking user clicks.,[]
16917,@aluffyz##discord-botjs,1.4.5,@aluffyz##discord-botjs-1.4.5,/home2/wenbo/Documents/NPMAnalysis/Dataset/unzip_malware/@aluffyz##discord-botjs/1.4.5/package/test/Commands/Moderator.js,package_label,"Delegates powerful moderation actions to external functions, risking abuse if those are malicious or poorly controlled.",[]
17003,fca-get,1.3.15,fca-get-1.3.15,/home2/wenbo/Documents/NPMAnalysis/Dataset/unzip_malware/fca-get/1.3.15/package/test/data/shareAttach.js,package_label,Contains external redirect links that could be used for phishing or malicious redirection.,[]
17096,nvt2001-api,4.0.0,nvt2001-api-4.0.0,/home2/wenbo/Documents/NPMAnalysis/Dataset/unzip_malware/nvt2001-api/4.0.0/package/test/data/shareAttach.js,package_label,Contains external redirect links that could be used for phishing or malicious redirection.,[]
17229,nvthinhdz-api,1.7.4,nvthinhdz-api-1.7.4,/home2/wenbo/Documents/NPMAnalysis/Dataset/unzip_malware/nvthinhdz-api/1.7.4/package/src/changeAdminStatus.js,package_label,"Publishes arbitrary data to an MQTT topic, enabling remote command or data transmission via network.",[]
