hasInstallScript,true
includeIP,false
useBase64Conversion,false
useBase64ConversionInScript,false
includeBase64String,true
includeBase64StringInScript,false
includeByteString,false
includeDomain,3
includeDomainInScript,0
useBuffer,true
useEval,false
useProcess,false
useProcessInScript,false
useFileSystem,true
useFileSystemInScript,false
useNetwork,false
useNetworkInScript,false
useProcessEnv,false
useProcessEnvInScript,false
containSuspicousString,false
useEncryptAndEncode,false
useOperatingSystem,false
includeObfuscatedCode,false
